budget,id,popularity,release_date,revenue,runtime,vote_average,vote_count,doy,year,dow,week,genre_drama,genre_comedy,genre_thriller,genre_romance,genre_action,genre_horror,genre_crime,genre_documentary,genre_adventure,genre_science_fiction,other_genre,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,revenue_inflated,budget_inflated,title,keywords,month,month_sin,month_cos
0,41925.0,2.069497,1990-01-01,1244381,107.0,5.9,24,1,1990,0,1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4690,4757,20162,15735,1227664,2987624.1178067215,0.0,The Comfort of Strangers,"[{'id': 110, 'name': 'venice'}]",1,0.49999999999999994,0.8660254037844387
0,25018.0,5.79907,1990-01-12,5765562,81.0,5.1,75,12,1990,4,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,151363,15070,99600,81460,110,13842490.430109393,0.0,Leatherface: Texas Chainsaw Massacre III,"[{'id': 9663, 'name': 'sequel'}, {'id': 11545, 'name': 'leatherface'}, {'id': 34079, 'name': 'death'}]",1,0.49999999999999994,0.8660254037844387
0,11060.0,5.439942,1990-01-12,27734391,114.0,6.5,71,12,1990,4,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1205,1271,12133,18331,109,66587271.45808371,0.0,Internal Affairs,"[{'id': 1998, 'name': 'shop'}, {'id': 4654, 'name': 'undercover agent'}, {'id': 6523, 'name': 'illegality'}, {'id': 11730, 'name': 'internal affairs'}]",1,0.49999999999999994,0.8660254037844387
0,60778.0,1.026053,1990-01-12,2346150,96.0,5.9,9,12,1990,4,2,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,11085,2178,14698,532,15412,5632852.25665792,0.0,Downtown,[],1,0.49999999999999994,0.8660254037844387
0,22585.0,2.345336,1990-01-12,8533973,91.0,4.8,14,12,1990,4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44149,15411,30861,2456,41798,20489145.65194372,0.0,Ski Patrol,"[{'id': 6075, 'name': 'sport'}, {'id': 159558, 'name': 'skiing'}, {'id': 195732, 'name': 'ski'}]",1,0.49999999999999994,0.8660254037844387
11000000,9362.0,15.750026,1990-01-19,48572000,96.0,6.6,882,19,1990,4,3,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4724,10430,57453,67015,21986,116616115.68330605,26409809.612870924,Tremors,"[{'id': 1197, 'name': 'nevada'}, {'id': 1415, 'name': 'small town'}, {'id': 2025, 'name': 'tractor'}, {'id': 9743, 'name': 'stranded'}, {'id': 10471, 'name': 'cult favorite'}, {'id': 11004, 'name': 'rural setting'}, {'id': 14991, 'name': 'tentacle'}, {'id': 158064, 'name': 'graboids'}, {'id': 158070, 'name': 'seismologist'}, {'id': 158071, 'name': 'binoculars'}, {'id': 158072, 'name': 'man eaten by monster'}, {'id': 158144, 'name': 'giant worm'}]",1,0.49999999999999994,0.8660254037844387
7000000,19384.0,7.958502,1990-01-26,9229401,91.0,5.5,75,26,1990,4,4,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,16644,84690,12831,37250,127965,22158793.022803683,16806242.48091786,Dark Angel,"[{'id': 2620, 'name': 'evidence'}, {'id': 2635, 'name': 'overdose'}, {'id': 2671, 'name': 'heroin'}, {'id': 8015, 'name': 'cop'}, {'id': 9951, 'name': 'alien'}, {'id': 10950, 'name': 'shootout'}, {'id': 11199, 'name': 'undercover cop'}, {'id': 14964, 'name': 'drug'}]",1,0.49999999999999994,0.8660254037844387
0,41817.0,5.531486,1990-02-02,4100000,100.0,5.1,25,33,1990,4,5,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,382,5292,43476,12889,103982,9843656.31025189,0.0,Heart Condition,[],2,0.8660254037844386,0.5000000000000001
0,12719.0,2.115753,1990-02-02,6488144,108.0,6.6,24,33,1990,4,5,0.0,0.33,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,2778,2628,10556,15900,44301,15577331.61644462,0.0,Flashback,"[{'id': 458, 'name': 'hippie'}, {'id': 1812, 'name': 'fbi'}, {'id': 1873, 'name': 'yuppie'}, {'id': 3864, 'name': 'false identity'}, {'id': 5498, 'name': 'lsd'}, {'id': 13008, 'name': 'train'}]",2,0.8660254037844386,0.5000000000000001
0,47329.0,6.175627,1990-02-02,20240128,109.0,6.2,11,33,1990,4,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73931,1230,17187,1756,19131,48594357.00183073,0.0,Stella,[],2,0.8660254037844386,0.5000000000000001
23000000,36094.0,1.914881,1990-02-09,5820015,104.0,5.7,26,40,1990,4,6,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6352,380,12967,17495,2977,13973226.190368453,55220511.00873011,Stanley & Iris,"[{'id': 1650, 'name': 'cook'}, {'id': 2470, 'name': 'education'}, {'id': 4129, 'name': 'widow'}, {'id': 7397, 'name': 'bakery'}, {'id': 9673, 'name': 'love'}, {'id': 171445, 'name': 'tutoring'}]",2,0.8660254037844386,0.5000000000000001
1500000,24558.0,1.961208,1990-02-09,5585154,94.0,4.9,20,40,1990,4,6,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,193,707,6844,780,18331,13409350.345324045,3601337.6744823987,Loose Cannons,"[{'id': 720, 'name': 'helicopter'}, {'id': 1552, 'name': 'subway'}, {'id': 2349, 'name': 'german'}, {'id': 6373, 'name': 'sadomasochism'}]",2,0.8660254037844386,0.5000000000000001
10000000,9569.0,7.176601,1990-02-09,47410000,96.0,5.6,141,40,1990,4,6,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,23880,46948,6573,28416,58039,113826279.43147369,24008917.82988266,Hard to Kill,"[{'id': 732, 'name': 'coma'}, {'id': 4613, 'name': 'training'}, {'id': 8015, 'name': 'cop'}]",2,0.8660254037844386,0.5000000000000001
0,14249.0,7.429491,1990-02-16,15645616,123.0,6.0,89,47,1990,4,7,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1269,5401,289,21708,84240,37563430.89418974,0.0,Revenge,"[{'id': 534, 'name': 'mexico'}, {'id': 9748, 'name': 'revenge'}, {'id': 9937, 'name': 'suspense'}, {'id': 10085, 'name': 'betrayal'}]",2,0.8660254037844386,0.5000000000000001
0,10166.0,8.208991,1990-02-16,15360553,91.0,6.7,224,47,1990,4,7,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,5657,55156,55157,34902,10730,36879025.47985575,0.0,The Witches,"[{'id': 616, 'name': 'witch'}, {'id': 715, 'name': 'chocolate'}, {'id': 2161, 'name': 'mouse'}, {'id': 2401, 'name': 'grandmother grandson relationship'}, {'id': 154999, 'name': 'bald'}]",2,0.8660254037844386,0.5000000000000001
11000000,20481.0,6.372135,1990-02-16,8862354,102.0,6.4,106,47,1990,4,7,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4138,140234,224,69791,31925,21277552.89653319,26409809.612870924,Nightbreed,"[{'id': 1299, 'name': 'monster'}, {'id': 6152, 'name': 'supernatural'}, {'id': 10685, 'name': 'escape'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11541, 'name': 'surprise ending'}, {'id': 177895, 'name': 'dark fantasy'}]",2,0.8660254037844386,0.5000000000000001
0,9322.0,6.586401,1990-02-21,5000000,115.0,7.0,511,52,1990,2,8,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,57298,2170,57299,57300,1003,12004458.91494133,0.0,La Femme Nikita,"[{'id': 1308, 'name': 'secret identity'}, {'id': 5422, 'name': 'special unit'}, {'id': 9840, 'name': 'romance'}, {'id': 41336, 'name': 'government assassin'}]",2,0.8660254037844386,0.5000000000000001
30000000,1669.0,15.91126,1990-03-02,199200000,134.0,7.2,971,61,1990,4,9,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,7447,738,349,4783,15152,478257643.17126256,72026753.48964797,The Hunt for Red October,"[{'id': 339, 'name': 'submarine'}, {'id': 2106, 'name': 'cold war'}, {'id': 2808, 'name': 'russian'}, {'id': 155460, 'name': 'defection'}, {'id': 155723, 'name': 'jack ryan'}]",3,1.0,6.123233995736766e-17
0,51434.0,0.91273,1990-03-08,1305887,91.0,5.3,9,67,1990,3,10,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6355,920,11073,5048,3211,3135293.3678111974,0.0,The Fourth War,"[{'id': 74, 'name': 'germany'}, {'id': 1657, 'name': 'eastern germany'}, {'id': 2106, 'name': 'cold war'}, {'id': 2286, 'name': 'border'}, {'id': 3539, 'name': 'czechoslovakia'}]",3,1.0,6.123233995736766e-17
2500000,16094.0,2.291511,1990-03-09,26386000,100.0,6.1,52,68,1990,4,10,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79320,78029,79321,15535,141823,63349930.58592838,6002229.457470665,House Party,"[{'id': 6270, 'name': 'high school'}, {'id': 8508, 'name': 'party'}, {'id': 10275, 'name': 'house party'}]",3,1.0,6.123233995736766e-17
